group,feature,label,n,auc,dir,mi,d
Kinematic,abs(yaw_rate_rads),rule_any,1227105,0.6956830216051122,+,0.0055453180502593735,0.882649159153729
Kinematic,displacement_m,rule_hard_brake,1325791,0.6808423282067729,-,0.005906149285961115,-0.28383774017780167
Kinematic,displacement_m,rule_anomalous_stop,1325791,0.9709041058747994,-,0.003606718751012594,-1.253396860896312
Kinematic,displacement_m,rule_path_deviation,1325791,0.5416828325351261,-,0.00022445804970094851,-0.023685832619822537
Kinematic,displacement_m,rule_close_conflict,1325791,0.7882221927604663,-,0.0006311581702134195,-0.45880889852756634
Kinematic,displacement_m,rule_any,1325791,0.6759010705965651,-,0.007180545992996112,-0.30789131518475277
Safety / interaction,dist_nearest_m,rule_hard_brake,1261502,0.5096164537531068,+,0.0005084786837108446,0.0482846023596383
Safety / interaction,dist_nearest_m,rule_anomalous_stop,1261502,0.6960962093977147,-,0.00023961548927498022,-0.5216044543927003
Safety / interaction,dist_nearest_m,rule_path_deviation,1261502,0.6102948490383174,+,0.0,0.4547476960302751
Safety / interaction,dist_nearest_m,rule_close_conflict,1261502,0.9434463545211867,-,0.003719021902207631,-1.1642588161208751
Safety / interaction,dist_nearest_m,rule_any,1261502,0.5164130250799309,+,0.00035229035089190397,0.09517065139411955
Geometric,deviation_m,rule_hard_brake,1368345,0.5184076981749772,-,0.005104025753610131,0.11424733613222168
Geometric,deviation_m,rule_anomalous_stop,1368345,0.5386933004431935,+,0.0,-0.013129320208979679
Geometric,deviation_m,rule_path_deviation,1368345,0.9555990014382248,+,0.019982530006037447,2.6839349180453476
Geometric,deviation_m,rule_close_conflict,1368345,0.6207759434807443,-,0.0,-0.15665573659761728
Geometric,deviation_m,rule_any,1368345,0.5911976755591871,+,0.013352650587126202,0.6745607114275425
Geometric,in_conflict_zone,rule_hard_brake,1372369,0.6314895560146053,-,0.005530785264941995,-0.5328793283981558
Geometric,in_conflict_zone,rule_anomalous_stop,1372369,0.787072636005494,+,0.0030044243694193895,1.1620451286478144
Geometric,in_conflict_zone,rule_path_deviation,1372369,0.5968351711961708,-,0.002818768187376919,-0.39171303333877433
